a,0
2006,405.3
2007,518.4
2008,584.4
2009,613.9
2010,714.6
2011,"1,125.2"
2012,"1,541.4"
2013,"1,635.8"
2014,"2,043.4"
2015,"2,426.3"
2016,"2,663.4"
